驕	骄
驊	骅
駱	骆
騁	骋
驗	验
駿	骏
駸	骎
騎	骑
騏	骐
騍	骒
騅	骓
騙	骗
騭	骘
騖	骛
騷	骚
騫	骞
驁	骜
驀	蓦
騰	腾
騮	骝
騸	骟
驃	骠
驄	骢
騾	骡
羈	羁
驟	骤
驥	骥
驤	骧
馿	驴
嘜	唛
麩	麸
澠	渑
黿	鼋
蠅	蝇
鼉	鼍
儺	傩
灘	滩
攤	摊
癱	瘫
鳬	凫
鳩	鸠
島	岛
蔦	茑
鳶	鸢
鳴	鸣
梟	枭
鴆	鸩
鴉	鸦
鳾	䴓
鷗	鸥
鴇	鸨
窵	窎
鶯	莺
鴣	鸪
搗	捣
鶇	鸫
鴨	鸭
鴦	鸯
鴞	鸮
鴝	鸲
鴒	鸰
鴛	鸳
鴕	鸵
裊	袅
鴟	鸱
鷥	鸶
鸞	鸾
鵁	䴔
鴻	鸿
鷙	鸷
鴯	鸸
鴷	䴕
鵃	鸼
鴿	鸽
鴰	鸹
鵂	鸺
鴴	鸻
鵜	鹈
鷴	鹇
鵓	鹁
鵑	鹃
鵒	鹆
鵠	鹄
鵝	鹅
鶉	鹑
鶊	鹒
鶄	䴖
鵡	鹉
鵲	鹊
鶓	鹋
鵪	鹌
鵬	鹏
鵮	鹐
鷀	鹚
鶘	鹕
鶡	鹖
鶪	䴗
鶚	鹗
鶻	鹘
鶖	鹙
鶩	鹜
鶥	鹛
鶴	鹤
鶼	鹣
鷂	鹞
鶺	鹡
鷉	䴘
鷓	鹧
鷖	鹥
鸚	鹦
鷚	鹨
鷲	鹫
鷯	鹩
鷦	鹪
鷸	鹬
鷹	鹰
鸇	鹯
鷺	鹭
鸊	䴙
鸛	鹳
鳮	鸡
劑	剂
儕	侪
濟	济
薺	荠
擠	挤
臍	脐
蠐	蛴
躋	跻
霽	霁
鱭	鲚
齏	齑
剴	剀
凱	凯
愷	恺
闓	闿
塏	垲
榿	桤
覬	觊
磑	硙
皚	皑
鎧	铠
愾	忾
餼	饩
躚	跹
劍	剑
儉	俭
險	险
撿	捡
獫	猃
檢	检
殮	殓
斂	敛
臉	脸
襝	裣
瞼	睑
瀲	潋
蘞	蔹
僑	侨
撟	挢
蕎	荞
嶠	峤
嬌	娇
橋	桥
轎	轿
礄	硚
矯	矫
鞽	鞒
櫬	榇
藭	䓖
謳	讴
傴	伛
漚	沤
慪	怄
摳	抠
奩	奁
嘔	呕
嶇	岖
嫗	妪
樞	枢
甌	瓯
歐	欧
毆	殴
瞘	眍
軀	躯
薔	蔷
墻	墙
嬙	嫱
檣	樯
穡	穑
鎩	铩
讅	谉
嬸	婶
溮	浉
獅	狮
螄	蛳
篩	筛
儔	俦
濤	涛
禱	祷
燾	焘
疇	畴
鑄	铸
籌	筹
躊	踌
囑	嘱
矚	瞩
㩳	㧐
蕭	萧
嘯	啸
瀟	潇
簫	箫
蠨	蟏
劌	刿
噦	哕
穢	秽
蓀	荪
猻	狲
遜	逊
滌	涤
縧	绦
鰷	鲦
厲	厉
